movieID,title,studio,genres,directors,writers,actors,year,length,shortDescription,mpaRating,criticsRating
1,Star Wars: Episode V - The Empire Strikes Back,Twentieth Century Fox,"Action, Adventure, Fantasty",Irvin Kershner,"Leigh Brackett, 
Lawrence Kasdan,
George Lucas","Mark Hamill,
Harrison Ford,
Carrie Fisher",1980,124,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",PG,8.7
2,The Matrix,Warner Bros. Pictures,"Action,
Sci-Fi","Lana Wachowski,
Lilly Wachowski","Lana Wachowski,
Lilly Wachowski","Keanu Reaves,
Laurence Fishburne,
Carrie-Anne Moss",1999,136,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",R,8.7
3,Star Wars: Episode IV - A New Hope,Twentieth Century Fox,"Action, Adventure, Fantasty",George Lucas,George Lucas,"Mark Hamill,
Harrison Ford,
Carrie Fisher",1977,121,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",PG,8.6
4,Back to the Future,Universal Pictures,"Adventure,
Comedy,
Sci-Fi",Robert Zemeckis,"Robet Zemeckis,
Bob Gale","Michael J. Fox,
Christopher Lloyd,
Lea Thompson",1985,116,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",PG,8.5
5,Alien,Twentieth Century Fox,"Horror,
Sci-Fi",Ridley Scott,"Dan O'Bannon,
Ronald Shusett","Sigourney Weaver,
Tom Skerritt,
John Hurt",1979,117,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,R,8.5
6,Raiders of th Lost Ark,Paramount Pictures,"Action, Adventure",Steven Spielberg,"Lawrence Kasdan, 
George Lucas, 
Philip Kaufman","Harrison Ford, 
Karen Allen,
Paul Freeman",1981,115,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.",PG,8.4
7,Blade Runner,Warner Bros. Pictures,"Action, Drama,
Sci-Fi",Ridley Scott,"Hampton Fancher, 
David Webb Peoples, 
Philip K. Dick","Harrison Ford, 
Rutger Hauer, 
Sean Young",1982,117,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,R,8.1
8,The Terminator,Orion Pictures,"Action,
Sci-Fi",James Cameron,"James Cameron,
Gale Anne Hurd,
William Wisher","Arnold Schwarzenegger, 
Linda Hamilton, 
Michael Biegn",1984,107,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",R,8.1
9,The Princess Bride,Twentieth Century Fox,"Adventure,
Comedy,
Family",Rob Reiner,William Goldman,"Cary Elwes,
Mandy Patinkin,
Robin Wright",1987,98,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",PG,8
10,Star Trek II: The Wrath of Khan,Paramount Pictures,"Action,
Adventure,
Sci-Fi",Nicholas Meyer,"Gene Roddenberry,
Jack B. Sowards,
Harve Bennett","William Shatner,
Leonard Nimoy,
DeForest Kelley",1982,113,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.",PG,7.7
11,Our Little Secret,Netflix,Drama,Thriller,Stephen Herek,Hailey DeDominicis,2024,119,"Our Little Secret follows Avery (Lohan), who is spending her first Christmas with her boyfriend''s family but discovers her ex is also part of the holiday festivities and decides to hide their romantic history.",R,8.5
12,The Ghazi Attack,Mission Film',War,Rana Daggubati Film',Taapsee Pannu,Sankalp Reddy,2017,116,"Based on true events during the 1971 India-Pakistan war, a submarine crew fights to prevent a Pakistani naval attack.",R,8
13,Money Heist,Netflix,Thriller,Alex Pina,Alvaro Morte,Pedro Alonso,2021,22 min per episode,A criminal mastermind plans the biggest heist in history � to print billions of euros in the Royal Mint of Spain.,TV-MA,9.3
14,Brooklyn,Fox Searchlight Pictures,"Drama, Romance",John Crowley,Nick Hornby,Emory Cohen,2015,113,"An Irish immigrant navigates between two men and two countries, torn between her past in Ireland and her future in Brooklyn, New York.",PG-13,9.7
15,Gone with the Wind,Metro-Goldwyn-Mayer,"Drama, Romance, Historical",Victor Fleming,Sidney Howard,Leslie Howard,1939,221,"A romantic and dramatic tale set during the American Civil War, centered on the love story between Scarlett O''Hara and Rhett Butler.",G,9.3
16,The Kid,First National Pictures,"Comedy, Drama",Charlie Chaplin,Charlie Chaplin,Charlie Chaplin,1921,68,A tramp and an orphaned child form an unlikely partnership and develop a bond while struggling to survive in a tough world.,R,10
17,Coco,Pixar Animation Studios,"Animation, Adventure, Family","Lee Unkrich, Adrian Molina","Lee Unkrich, Adrian Molina",Benjamin Bratt,2017,105,A young boy embarks on a journey to the Land of the Dead to unlock the mysteries of his family''s history and legacy.,PG,9.7
18,Spider-Man,Marvel Studios,"Action, Adventure, Sci-Fi",Jon Watts,Tom Holland,Cumberbatch,2022,148,"Spider-Man�s identity is revealed, and he seeks help from Doctor Strange to erase everyone''s memory of him, resulting in chaos across the multiverse.",PG-13,9.3
19,Titanic,Paramount Pictures,"Drama, Romance",James Cameron,James Cameron,"Leonardo DiCaprio, Kate Winslet",1997,195,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",PG-13,8.9
20,Inception,Warner Bros. Pictures,"Action, Adventure, Sci-Fi",Christopher Nolan,Christopher Nolan,Joseph Gordon-Levitt,2010,148,A thief who enters the dreams of others to steal secrets from their subconscious is given the task of planting an idea into the mind of a CEO.,PG-13,8.6
